Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,128.750000,134.850006,127.220001,133.899994,133.899994,13763900
2020-01-02,135.990005,137.330002,133.580002,137.100006,137.100006,9924400
2020-01-03,134.509995,138.889999,134.000000,137.509995,137.509995,8637000
2020-01-06,136.259995,144.550003,135.755005,143.369995,143.369995,14422000
2020-01-07,144.009995,144.229996,137.910004,138.190002,138.190002,11574700
2020-01-08,137.110001,137.929993,132.850006,134.639999,134.639999,11291300
2020-01-09,135.669998,138.770004,131.240005,133.789993,133.789993,12630700
2020-01-10,132.639999,133.000000,128.100006,128.399994,128.399994,13439800
2020-01-13,130.229996,135.000000,126.300003,133.929993,133.929993,18440100
2020-01-14,134.039993,137.130005,131.119995,133.419998,133.419998,11144500
2020-01-15,132.869995,136.059998,132.130005,132.500000,132.500000,7642700
2020-01-16,132.869995,134.270004,128.399994,131.070007,131.070007,11206500
2020-01-17,131.250000,131.600006,128.380005,130.380005,130.380005,9173500
2020-01-21,132.149994,137.500000,131.229996,136.630005,136.630005,12801100
2020-01-22,137.520004,140.500000,132.309998,132.429993,132.429993,11829900
2020-01-23,132.179993,134.990005,129.550003,134.070007,134.070007,8818800
2020-01-24,133.919998,135.660004,128.789993,130.089996,130.089996,8488100
2020-01-27,127.529999,128.516998,123.779999,126.209999,126.209999,9239400
2020-01-28,127.300003,130.289993,125.010002,129.610001,129.610001,8173100
2020-01-29,130.440002,131.800003,128.619995,128.880005,128.880005,5805200
2020-01-30,127.559998,130.880005,126.800003,130.639999,130.639999,4472500
2020-01-31,129.100006,129.529999,120.349998,120.949997,120.949997,16948000
2020-02-03,123.900002,129.479996,123.199997,127.500000,127.500000,10128900
2020-02-04,129.100006,132.789993,128.770004,131.029999,131.029999,7994400
2020-02-05,133.460007,133.509995,125.019997,125.940002,125.940002,8797400
2020-02-06,126.400002,129.020004,124.233002,126.160004,126.160004,6425800
2020-02-07,126.300003,127.600998,123.900002,124.250000,124.250000,5437600
